id,Cell,CellType,Date,Drug,DrugTime,Episode,EpisodeNum,FileSizeBytes,NumSpikes,NumSpikesAfter,RMP,StimDescription,StimDuration,Stimulus,SweepWindow,TotalSpikes,WCTime,Comment,count
86924,Neocortex F.05Jul18,TeA,7/5/2018,2uM CCh + 2/3uM ML297,685.789,S1.E5,5,3001636,30,219,-70.6243,"DAC0: PulseA -50 [200,1000];PulseB 200 [2000,4000];",2000,[2000. 4000.  200.],50000,249,1087.8,,3
86931,Neocortex F.05Jul18,TeA,7/5/2018,2uM CCh + 2/3uM ML297,1660.42,S1.E12,12,3001637,34,328,-71.199,"DAC0: PulseA -50 [200,1000];PulseB 200 [2000,4000];",2000,[2000. 4000.  200.],50000,362,2062.43,,3
86938,Neocortex F.05Jul18,TeA,7/5/2018,2uM CCh + 2/3uM ML297,228.61700000000002,S1.E19,19,3001637,36,313,-68.9367,"DAC0: PulseA -50 [200,1000];PulseB 200 [2000,4000];",2000,[2000. 4000.  200.],50000,349,228.61700000000002,,3
86961,Neocortex A.06Jul18,TeA,7/6/2018,2uM CCh + 2/3uM ML297,844.5310000000001,S1.E8,8,3001669,35,257,-70.5663,"DAC0: PulseA -50 [200,1000];PulseB 200 [2000,4000];",2000,[2000. 4000.  200.],50000,292,1185.0,,4
86963,Neocortex A.06Jul18,TeA,7/6/2018,2uM CCh + 2/3uM ML297,1062.04,S1.E10,10,3001671,34,217,-70.3644,"DAC0: PulseA -50 [200,1000];PulseB 200 [2000,4000];",2000,[2000. 4000.  200.],50000,251,1402.51,,4
86968,Neocortex A.06Jul18,TeA,7/6/2018,2uM CCh + 2/3uM ML297,1587.78,S1.E15,15,3001671,30,291,-70.398,"DAC0: PulseA -50 [200,1000];PulseB 200 [2000,4000];",2000,[2000. 4000.  200.],50000,321,1928.25,,4
86974,Neocortex A.06Jul18,TeA,7/6/2018,2uM CCh + 2/3uM ML297,2187.48,S1.E21,21,3001671,29,261,-70.1625,"DAC0: PulseA -50 [200,1000];PulseB 200 [2000,4000];",2000,[2000. 4000.  200.],50000,290,2527.95,,4
87000,Neocortex D.06Jul18,TeA,7/6/2018,2uM CCh + 2/3uM ML297,592.258,S1.E4,4,3001669,26,187,-69.7161,"DAC0: PulseA -50 [200,1000];PulseB 200 [2000,4000];",2000,[2000. 4000.  200.],50000,213,807.258,,3
87006,Neocortex D.06Jul18,TeA,7/6/2018,2uM CCh + 2/3uM ML297,1238.5,S1.E10,10,3001670,27,360,-69.2378,"DAC0: PulseA -50 [200,1000];PulseB 200 [2000,4000];",2000,[2000. 4000.  200.],50000,387,1453.5,,3
87011,Neocortex D.06Jul18,TeA,7/6/2018,2uM CCh + 2/3uM ML297,1872.25,S1.E15,15,3001670,28,362,-70.0424,"DAC0: PulseA -50 [200,1000];PulseB 200 [2000,4000];",2000,[2000. 4000.  200.],50000,390,2087.25,,3
87084,Neocortex E.09Jul18,TeA,7/9/2018,2uM CCh + 2/3uM ML297,1195.27,S1.E7,7,3001668,21,179,-70.6009,"DAC0: PulseA -50 [200,1000];PulseB 200 [2000,4000];",2000,[2000. 4000.  200.],50000,200,1297.56,,19
87085,Neocortex E.09Jul18,TeA,7/9/2018,2uM CCh + 2/3uM ML297,1374.97,S1.E8,8,3001667,22,12,-70.2855,"DAC0: PulseA -50 [200,1000];PulseB 200 [2000,4000];PulseC -50 [4000,8000];",2000,[2000. 4000.  200.],50000,34,1477.26,,19
87088,Neocortex E.09Jul18,TeA,7/9/2018,2uM CCh + 2/3uM ML297,1804.11,S1.E11,11,3001669,28,288,-70.7175,"DAC0: PulseA -50 [200,1000];PulseB 200 [2000,4000];PulseC -100 [4000,8000];",2000,[2000. 4000.  200.],50000,316,1906.41,,19
87089,Neocortex E.09Jul18,TeA,7/9/2018,2uM CCh + 2/3uM ML297,1974.31,S1.E12,12,3001669,26,196,-70.7849,"DAC0: PulseA -50 [200,1000];PulseB 200 [2000,4000];PulseC -100 [4000,9000];",2000,[2000. 4000.  200.],50000,222,2076.61,,19
87090,Neocortex E.09Jul18,TeA,7/9/2018,2uM CCh + 2/3uM ML297,2151.09,S1.E13,13,3001669,26,225,-70.6416,"DAC0: PulseA -50 [200,1000];PulseB 200 [2000,4000];PulseC -100 [4000,10000];",2000,[2000. 4000.  200.],50000,251,2253.38,,19
87091,Neocortex E.09Jul18,TeA,7/9/2018,2uM CCh + 2/3uM ML297,2288.45,S1.E14,14,3001669,25,104,-68.7421,"DAC0: PulseA -50 [200,1000];PulseB 200 [2000,4000];PulseC -100 [4000,11000];",2000,[2000. 4000.  200.],50000,129,2390.75,,19
87094,Neocortex E.09Jul18,TeA,7/9/2018,2uM CCh + 2/3uM ML297,2620.11,S1.E17,17,3001669,24,146,-71.4243,"DAC0: PulseA -50 [200,1000];PulseB 200 [2000,4000];PulseC -100 [4000,13000];",2000,[2000. 4000.  200.],50000,170,2722.41,,19
87095,Neocortex E.09Jul18,TeA,7/9/2018,2uM CCh + 2/3uM ML297,2764.02,S1.E18,18,3001669,23,192,-71.0517,"DAC0: PulseA -50 [200,1000];PulseB 200 [2000,4000];PulseC -100 [4000,13000];",2000,[2000. 4000.  200.],50000,215,2866.32,,19
87106,Neocortex E.09Jul18,TeA,7/9/2018,2uM CCh + 2/3uM ML297,3617.13,S1.E29,29,3001669,24,218,-69.2849,"DAC0: PulseA -50 [200,1000];PulseB 200 [2000,4000];PulseC -100 [4000,9000];",2000,[2000. 4000.  200.],50000,242,3719.43,,19
87107,Neocortex E.09Jul18,TeA,7/9/2018,2uM CCh + 2/3uM ML297,3769.41,S1.E30,30,3001670,22,165,-70.042,"DAC0: PulseA -50 [200,1000];PulseB 200 [2000,4000];PulseC -100 [4000,8000];",2000,[2000. 4000.  200.],50000,187,3871.71,,19
87108,Neocortex E.09Jul18,TeA,7/9/2018,2uM CCh + 2/3uM ML297,3915.36,S1.E31,31,3001669,20,207,-70.3417,"DAC0: PulseA -50 [200,1000];PulseB 200 [2000,4000];",2000,[2000. 4000.  200.],50000,227,4017.65,,19
87109,Neocortex E.09Jul18,TeA,7/9/2018,2uM CCh + 2/3uM ML297,4063.16,S1.E32,32,3001669,20,212,-71.0159,"DAC0: PulseA -50 [200,1000];PulseB 200 [2000,4000];",2000,[2000. 4000.  200.],50000,232,4165.45,,19
87110,Neocortex E.09Jul18,TeA,7/9/2018,2uM CCh + 2/3uM ML297,4200.86,S1.E33,33,3001669,21,174,-70.2679,"DAC0: PulseA -50 [200,1000];PulseB 200 [2000,4000];PulseC -100 [4000,8000];",2000,[2000. 4000.  200.],50000,195,4303.16,,19
87111,Neocortex E.09Jul18,TeA,7/9/2018,2uM CCh + 2/3uM ML297,4338.93,S1.E34,34,3001669,22,149,-70.5477,"DAC0: PulseA -50 [200,1000];PulseB 200 [2000,4000];PulseC -100 [4000,9000];",2000,[2000. 4000.  200.],50000,171,4441.23,,19
87113,Neocortex E.09Jul18,TeA,7/9/2018,2uM CCh + 2/3uM ML297,4653.66,S1.E36,36,3001669,25,151,-69.2703,"DAC0: PulseA -50 [200,1000];PulseB 200 [2000,4000];PulseC -100 [4000,10000];",2000,[2000. 4000.  200.],50000,176,4755.96,,19
87114,Neocortex E.09Jul18,TeA,7/9/2018,2uM CCh + 2/3uM ML297,4779.39,S1.E37,37,3001669,23,110,-70.7703,"DAC0: PulseA -50 [200,1000];PulseB 200 [2000,4000];PulseC -100 [4000,11000];",2000,[2000. 4000.  200.],50000,133,4881.68,,19
87117,Neocortex E.09Jul18,TeA,7/9/2018,2uM CCh + 2/3uM ML297,5037.55,S1.E40,40,3001669,23,80,-70.1428,"DAC0: PulseA -50 [200,1000];PulseB 200 [2000,4000];PulseC -100 [4000,14000];",2000,[2000. 4000.  200.],50000,103,5139.85,,19
87123,Neocortex E.09Jul18,TeA,7/9/2018,2uM CCh + 2/3uM ML297,5657.86,S1.E46,46,3001669,25,183,-68.9035,"DAC0: PulseA -50 [200,1000];PulseB 200 [2000,4000];",2000,[2000. 4000.  200.],50000,208,5760.15,,19
87124,Neocortex E.09Jul18,TeA,7/9/2018,2uM CCh + 2/3uM ML297,5786.67,S1.E47,47,3001669,19,112,-71.3219,"DAC0: PulseA -50 [200,1000];PulseB 200 [2000,4000];",2000,[2000. 4000.  200.],50000,131,5888.96,,19
87182,Neocortex D.10Jul18,TeA,7/10/2018,2uM CCh + 2/3uM ML297,671.543,S1.E5,5,3001665,27,135,-69.2765,"DAC0: PulseA -50 [200,1000];PulseB 200 [2000,4000];",2000,[2000. 4000.  200.],50000,162,783.523,,16
87184,Neocortex D.10Jul18,TeA,7/10/2018,2uM CCh + 2/3uM ML297,855.84,S1.E7,7,3001665,30,261,-70.4744,"DAC0: PulseA -50 [200,1000];PulseB 200 [2000,4000];",2000,[2000. 4000.  200.],50000,291,967.82,,16
87185,Neocortex D.10Jul18,TeA,7/10/2018,2uM CCh + 2/3uM ML297,1008.61,S1.E8,8,3001665,31,247,-71.1146,"DAC0: PulseA -50 [200,1000];PulseB 200 [2000,4000];PulseC -75 [4000,8000];",2000,[2000. 4000.  200.],50000,278,1120.59,,16
87187,Neocortex D.10Jul18,TeA,7/10/2018,2uM CCh + 2/3uM ML297,1248.98,S1.E10,10,3001667,33,257,-69.441,"DAC0: PulseA -50 [200,1000];PulseB 200 [2000,4000];PulseC -75 [4000,10000];",2000,[2000. 4000.  200.],50000,290,1360.96,,16
87188,Neocortex D.10Jul18,TeA,7/10/2018,2uM CCh + 2/3uM ML297,1401.5,S1.E11,11,3001667,33,259,-69.7795,"DAC0: PulseA -50 [200,1000];PulseB 200 [2000,4000];PulseC -75 [4000,9000];",2000,[2000. 4000.  200.],50000,292,1513.48,,16
87189,Neocortex D.10Jul18,TeA,7/10/2018,2uM CCh + 2/3uM ML297,1580.92,S1.E12,12,3001667,32,38,-72.6579,"DAC0: PulseA -50 [200,1000];PulseB 200 [2000,4000];PulseC -75 [4000,11000];",2000,[2000. 4000.  200.],50000,70,1692.9,,16
87197,Neocortex D.10Jul18,TeA,7/10/2018,2uM CCh + 2/3uM ML297,2191.13,S1.E20,20,3001667,33,167,-70.3507,"DAC0: PulseA -50 [200,1000];PulseB 200 [2000,4000];PulseC -75 [4000,14000];",2000,[2000. 4000.  200.],50000,200,2303.11,,16
87202,Neocortex D.10Jul18,TeA,7/10/2018,2uM CCh + 2/3uM ML297,2777.18,S1.E25,25,3001666,37,238,-69.9339,"DAC0: PulseA -50 [200,1000];PulseB 200 [2000,4000];PulseC -75 [4000,10000];",2000,[2000. 4000.  200.],50000,275,2889.16,,16
87204,Neocortex D.10Jul18,TeA,7/10/2018,2uM CCh + 2/3uM ML297,3004.09,S1.E27,27,3001666,34,123,-70.3773,"DAC0: PulseA -50 [200,1000];PulseB 200 [2000,4000];PulseC -75 [4000,9000];",2000,[2000. 4000.  200.],50000,157,3116.07,,16
87206,Neocortex D.10Jul18,TeA,7/10/2018,2uM CCh + 2/3uM ML297,3325.89,S1.E29,29,3001666,34,395,-70.7864,"DAC0: PulseA -50 [200,1000];PulseB 200 [2000,4000];",2000,[2000. 4000.  200.],50000,429,3437.88,,16
87208,Neocortex D.10Jul18,TeA,7/10/2018,2uM CCh + 2/3uM ML297,3574.02,S1.E31,31,3001666,38,253,-69.9485,"DAC0: PulseA -50 [200,1000];PulseB 200 [2000,4000];PulseC -75 [4000,8000];",2000,[2000. 4000.  200.],50000,291,3686.0,,16
87209,Neocortex D.10Jul18,TeA,7/10/2018,2uM CCh + 2/3uM ML297,3780.91,S1.E32,32,3001666,38,206,-70.1269,"DAC0: PulseA -50 [200,1000];PulseB 200 [2000,4000];PulseC -75 [4000,8000];",2000,[2000. 4000.  200.],50000,244,3892.89,,16
87210,Neocortex D.10Jul18,TeA,7/10/2018,2uM CCh + 2/3uM ML297,3949.6,S1.E33,33,3001666,38,385,-69.5907,"DAC0: PulseA -50 [200,1000];PulseB 200 [2000,4000];",2000,[2000. 4000.  200.],50000,423,4061.58,,16
87214,Neocortex D.10Jul18,TeA,7/10/2018,2uM CCh + 2/3uM ML297,4323.34,S1.E37,37,3001666,37,300,-68.2145,"DAC0: PulseA -50 [200,1000];PulseB 200 [2000,4000];PulseC -75 [4000,9000];",2000,[2000. 4000.  200.],50000,337,4435.32,,16
87216,Neocortex D.10Jul18,TeA,7/10/2018,2uM CCh + 2/3uM ML297,4573.71,S1.E39,39,3001666,38,189,-70.396,"DAC0: PulseA -50 [200,1000];PulseB 200 [2000,4000];PulseC -75 [4000,11000];",2000,[2000. 4000.  200.],50000,227,4685.69,,16
87218,Neocortex D.10Jul18,TeA,7/10/2018,2uM CCh + 2/3uM ML297,4835.5,S1.E41,41,3001666,37,145,-70.5687,"DAC0: PulseA -50 [200,1000];PulseB 200 [2000,4000];PulseC -75 [4000,12000];",2000,[2000. 4000.  200.],50000,182,4947.48,,16
87295,Neocortex G.11Jul18,TeA,7/11/2018,2uM CCh + 2/3uM ML297,752.301,S1.E4,4,3001665,22,343,-70.4727,"DAC0: PulseA -50 [200,1000];PulseB 200 [2000,4000];",2000,[2000. 4000.  200.],50000,365,1025.19,,11
87297,Neocortex G.11Jul18,TeA,7/11/2018,2uM CCh + 2/3uM ML297,1005.65,S1.E6,6,3001665,23,27,-70.6421,"DAC0: PulseA -75 [200,1000];PulseB 200 [2000,4000];PulseC -75 [4000,8000];",2000,[2000. 4000.  200.],50000,50,1278.54,,11
87298,Neocortex G.11Jul18,TeA,7/11/2018,2uM CCh + 2/3uM ML297,1132.61,S1.E7,7,3001665,25,336,-70.3101,"DAC0: PulseA -100 [200,1000];PulseB 200 [2000,4000];PulseC -100 [4000,8000];",2000,[2000. 4000.  200.],50000,361,1405.5,,11
87299,Neocortex G.11Jul18,TeA,7/11/2018,2uM CCh + 2/3uM ML297,1320.25,S1.E8,8,3001664,23,348,-70.583,"DAC0: PulseA -100 [200,1000];PulseB 200 [2000,4000];PulseC -100 [4000,9000];",2000,[2000. 4000.  200.],50000,371,1593.14,,11
87312,Neocortex G.11Jul18,TeA,7/11/2018,2uM CCh + 2/3uM ML297,558.992,S1.E21,21,3001666,23,336,-70.5582,"DAC0: PulseA -100 [200,1000];PulseB 200 [2000,4000];PulseC -100 [4000,9000];",2000,[2000. 4000.  200.],50000,359,610.4730000000001,,11
87313,Neocortex G.11Jul18,TeA,7/11/2018,2uM CCh + 2/3uM ML297,-0.0078125,S1.E22,22,3001666,23,338,-70.4876,"DAC0: PulseA -100 [200,1000];PulseB 200 [2000,4000];PulseC -100 [4000,8000];",2000,[2000. 4000.  200.],50000,361,-0.0078125,,11
87314,Neocortex G.11Jul18,TeA,7/11/2018,2uM CCh + 2/3uM ML297,99.5898,S1.E23,23,3001666,22,334,-70.2935,"DAC0: PulseA -100 [200,1000];PulseB 200 [2000,4000];",2000,[2000. 4000.  200.],50000,356,138.512,,11
87315,Neocortex G.11Jul18,TeA,7/11/2018,2uM CCh + 2/3uM ML297,260.039,S1.E24,24,3001666,22,294,-70.1465,"DAC0: PulseA -100 [200,1000];PulseB 200 [2000,4000];PulseC -100 [4000,8000];",2000,[2000. 4000.  200.],50000,316,298.961,,11
87325,Neocortex G.11Jul18,TeA,7/11/2018,2uM CCh + 2/3uM ML297,409.60900000000004,S1.E35,35,3001667,28,418,-70.8359,"DAC0: PulseA -100 [200,1000];PulseB 200 [2000,4000];",2000,[2000. 4000.  200.],50000,446,467.551,,11
87326,Neocortex G.11Jul18,TeA,7/11/2018,2uM CCh + 2/3uM ML297,561.582,S1.E36,36,3001667,28,359,-71.5918,"DAC0: PulseA -100 [200,1000];PulseB 200 [2000,4000];",2000,[2000. 4000.  200.],50000,387,619.523,,11
87327,Neocortex G.11Jul18,TeA,7/11/2018,2uM CCh + 2/3uM ML297,668.191,S1.E37,37,3001667,21,219,-71.4236,"DAC0: PulseA -100 [200,1000];PulseB 200 [2000,4000];",2000,[2000. 4000.  200.],50000,240,726.133,,11
87413,Neocortex D.13Jul18,TeA,7/13/2018,2uM CCh + 2/3uM ML297,920.551,S1.E6,6,3001667,35,450,-70.7008,"DAC0: PulseA -75 [200,1000];PulseB 300 [4000,6000];",2000,[4000. 6000.  300.],50000,485,1093.44,,5
87415,Neocortex D.13Jul18,TeA,7/13/2018,2uM CCh + 2/3uM ML297,1149.09,S1.E8,8,3001667,38,501,-70.119,"DAC0: PulseA -100 [200,1000];PulseB 300 [4000,6000];",2000,[4000. 6000.  300.],50000,539,1321.98,,5
87416,Neocortex D.13Jul18,TeA,7/13/2018,2uM CCh + 2/3uM ML297,1304.9,S1.E9,9,3001666,39,29,-69.82300000000001,"DAC0: PulseA -100 [200,1000];PulseB 300 [4000,6000];PulseC -100 [6000,10000];",2000,[4000. 6000.  300.],50000,68,1477.79,,5
87419,Neocortex D.13Jul18,TeA,7/13/2018,2uM CCh + 2/3uM ML297,1693.69,S1.E12,12,3001669,36,451,-70.8041,"DAC0: PulseA -100 [200,1000];PulseB 300 [4000,6000];PulseC -100 [6000,10000];",2000,[4000. 6000.  300.],50000,487,1866.58,,5
87432,Neocortex D.13Jul18,TeA,7/13/2018,2uM CCh + 2/3uM ML297,426.559,S1.E25,25,3001669,30,15827,-70.3905,"DAC0: PulseA -100 [200,1000];PulseB 300 [4000,6000];PulseC -100 [6000,10000];",2000,[4000. 6000.  300.],50000,15851,430.598,,5
87441,Neocortex F.13Jul18,TeA,7/13/2018,2uM CCh + 2/3uM ML297,914.262,S1.E8,8,3001667,41,347,-71.7856,"DAC0: PulseA -75 [200,1000];PulseB 300 [4000,6000];",2000,[4000. 6000.  300.],50000,388,1140.65,,14
87442,Neocortex F.13Jul18,TeA,7/13/2018,2uM CCh + 2/3uM ML297,1029.81,S1.E9,9,3001667,37,278,-71.3214,"DAC0: PulseA -75 [200,1000];PulseB 300 [4000,6000];PulseC -75 [6000,10000];",2000,[4000. 6000.  300.],50000,315,1256.2,,14
87443,Neocortex F.13Jul18,TeA,7/13/2018,2uM CCh + 2/3uM ML297,1166.63,S1.E10,10,3001669,40,319,-71.1761,"DAC0: PulseA -75 [200,1000];PulseB 300 [4000,6000];PulseC -75 [6000,11000];",2000,[4000. 6000.  300.],50000,359,1393.02,,14
87445,Neocortex F.13Jul18,TeA,7/13/2018,2uM CCh + 2/3uM ML297,1359.39,S1.E12,12,3001669,41,168,-70.0107,"DAC0: PulseA -75 [200,1000];PulseB 300 [4000,6000];PulseC -75 [6000,13000];",2000,[4000. 6000.  300.],50000,209,1585.78,,14
87452,Neocortex F.13Jul18,TeA,7/13/2018,2uM CCh + 2/3uM ML297,2028.45,S1.E19,19,3001669,42,262,-70.6478,"DAC0: PulseA -75 [200,1000];PulseB 300 [4000,6000];PulseC -75 [6000,13000];",2000,[4000. 6000.  300.],50000,304,2254.83,,14
87453,Neocortex F.13Jul18,TeA,7/13/2018,2uM CCh + 2/3uM ML297,2207.03,S1.E20,20,3001669,43,238,-69.1933,"DAC0: PulseA -75 [200,1000];PulseB 300 [4000,6000];PulseC -75 [6000,12000];",2000,[4000. 6000.  300.],50000,281,2433.41,,14
87454,Neocortex F.13Jul18,TeA,7/13/2018,2uM CCh + 2/3uM ML297,2423.41,S1.E21,21,3001669,44,249,-70.2545,"DAC0: PulseA -75 [200,1000];PulseB 300 [4000,6000];PulseC -75 [6000,11000];",2000,[4000. 6000.  300.],50000,293,2649.8,,14
87455,Neocortex F.13Jul18,TeA,7/13/2018,2uM CCh + 2/3uM ML297,2673.18,S1.E22,22,3001669,45,316,-70.2079,"DAC0: PulseA -75 [200,1000];PulseB 300 [4000,6000];PulseC -75 [6000,10000];",2000,[4000. 6000.  300.],50000,361,2899.57,,14
87456,Neocortex F.13Jul18,TeA,7/13/2018,2uM CCh + 2/3uM ML297,2855.37,S1.E23,23,3001669,43,367,-69.5528,"DAC0: PulseA -75 [200,1000];PulseB 300 [4000,6000];",2000,[4000. 6000.  300.],50000,410,3081.75,,14
87457,Neocortex F.13Jul18,TeA,7/13/2018,2uM CCh + 2/3uM ML297,2978.05,S1.E24,24,3001669,42,318,-71.2822,"DAC0: PulseA -75 [200,1000];PulseB 300 [4000,6000];",2000,[4000. 6000.  300.],50000,360,3204.43,,14
87460,Neocortex F.13Jul18,TeA,7/13/2018,2uM CCh + 2/3uM ML297,3384.12,S1.E28,28,3001669,45,313,-70.3079,"DAC0: PulseA -75 [200,1000];PulseB 300 [4000,6000];PulseC -75 [6000,10000];",2000,[4000. 6000.  300.],50000,358,3610.51,,14
87461,Neocortex F.13Jul18,TeA,7/13/2018,2uM CCh + 2/3uM ML297,3560.09,S1.E29,29,3001669,45,284,-70.3243,"DAC0: PulseA -75 [200,1000];PulseB 300 [4000,6000];PulseC -75 [6000,11000];",2000,[4000. 6000.  300.],50000,329,3786.47,,14
87463,Neocortex F.13Jul18,TeA,7/13/2018,2uM CCh + 2/3uM ML297,3757.55,S1.E31,31,3001669,44,120,-70.2961,"DAC0: PulseA -75 [200,1000];PulseB 300 [4000,6000];PulseC -75 [6000,13000];",2000,[4000. 6000.  300.],50000,164,3983.93,,14
87467,Neocortex F.13Jul18,TeA,7/13/2018,2uM CCh + 2/3uM ML297,4109.21,S1.E35,35,3001669,45,349,-70.2136,"DAC0: PulseA -75 [200,1000];PulseB 300 [4000,6000];",2000,[4000. 6000.  300.],50000,394,4335.59,,14
87498,Neocortex G.16Jul18,TeA,7/16/2018,2uM CCh + 2/3uM ML297,1029.7,S1.E6,6,3001669,40,265,-70.5685,"DAC0: PulseA -50 [200,1000];PulseB 200 [4000,6000];",2000,[4000. 6000.  200.],50000,305,1325.78,,7
87499,Neocortex G.16Jul18,TeA,7/16/2018,2uM CCh + 2/3uM ML297,1240.62,S1.E7,7,3001669,42,265,-70.3035,"DAC0: PulseA -75 [200,1000];PulseB 200 [4000,6000];PulseC -75 [6000,10000];",2000,[4000. 6000.  200.],50000,307,1536.7,,7
87500,Neocortex G.16Jul18,TeA,7/16/2018,2uM CCh + 2/3uM ML297,1407.43,S1.E8,8,3001669,43,233,-71.1863,"DAC0: PulseA -75 [200,1000];PulseB 200 [4000,6000];PulseC -75 [6000,11000];",2000,[4000. 6000.  200.],50000,276,1703.51,,7
87501,Neocortex G.16Jul18,TeA,7/16/2018,2uM CCh + 2/3uM ML297,1586.59,S1.E9,9,3001669,43,243,-69.0497,"DAC0: PulseA -75 [200,1000];PulseB 200 [4000,6000];PulseC -75 [6000,12000];",2000,[4000. 6000.  200.],50000,286,1882.67,,7
87510,Neocortex G.16Jul18,TeA,7/16/2018,2uM CCh + 2/3uM ML297,2633.82,S1.E18,18,3001670,43,140,-70.2372,"DAC0: PulseA -75 [200,1000];PulseB 200 [4000,6000];PulseC -75 [6000,12000];",2000,[4000. 6000.  200.],50000,183,2929.89,,7
87515,Neocortex G.16Jul18,TeA,7/16/2018,2uM CCh + 2/3uM ML297,3092.23,S1.E23,23,3001670,40,121,-69.8535,"DAC0: PulseA -75 [200,1000];PulseB 200 [4000,6000];",2000,[4000. 6000.  200.],50000,161,3388.31,,7
87518,Neocortex G.16Jul18,TeA,7/16/2018,2uM CCh + 2/3uM ML297,3444.1,S1.E26,26,3001670,41,51,-71.0258,"DAC0: PulseA -75 [200,1000];PulseB 200 [4000,6000];PulseC -75 [6000,11000];",2000,[4000. 6000.  200.],50000,92,3740.18,,7
87543,Neocortex C.17Jul18,TeA,7/17/2018,2uM CCh + 2/3uM ML297,1038.36,S1.E7,7,3001667,26,166,-69.9359,"DAC0: PulseA -50 [200,1000];PulseB 200 [4000,6000];",2000,[4000. 6000.  200.],50000,192,1161.67,,16
87545,Neocortex C.17Jul18,TeA,7/17/2018,2uM CCh + 2/3uM ML297,1264.79,S1.E9,9,3001667,28,170,-71.3379,"DAC0: PulseA -75 [200,1000];PulseB 200 [4000,6000];PulseC -75 [6000,10000];",2000,[4000. 6000.  200.],50000,198,1388.1,,16
87546,Neocortex C.17Jul18,TeA,7/17/2018,2uM CCh + 2/3uM ML297,1458.56,S1.E10,10,3001669,30,208,-69.8154,"DAC0: PulseA -75 [200,1000];PulseB 200 [4000,6000];PulseC -75 [6000,11000];",2000,[4000. 6000.  200.],50000,238,1581.87,,16
87547,Neocortex C.17Jul18,TeA,7/17/2018,2uM CCh + 2/3uM ML297,1615.29,S1.E11,11,3001669,30,120,-71.9043,"DAC0: PulseA -75 [200,1000];PulseB 200 [4000,6000];PulseC -75 [6000,12000];",2000,[4000. 6000.  200.],50000,150,1738.61,,16
87548,Neocortex C.17Jul18,TeA,7/17/2018,2uM CCh + 2/3uM ML297,1749.88,S1.E12,12,3001669,29,83,-70.8006,"DAC0: PulseA -75 [200,1000];PulseB 200 [4000,6000];PulseC -75 [6000,13000];",2000,[4000. 6000.  200.],50000,112,1873.2,,16
87552,Neocortex C.17Jul18,TeA,7/17/2018,2uM CCh + 2/3uM ML297,2205.86,S1.E16,16,3001668,25,146,-69.6071,"DAC0: PulseA -75 [200,1000];PulseB 200 [4000,6000];",2000,[4000. 6000.  200.],50000,171,2329.18,,16
