# Comments starts with '#' and the line will be ignored when reading
# Command, start with pipe '|'
# Empty lines will be ignored when reading
# CSV format for data plot

# Type of plot
| type = boxplot
# Grouping data are assigned as 'x' variable
| x=ER
# The scatter data are assigned as 'y' variable
| y=time_survival
# Axis labels
| xlabel = PSP
| ylabel = Amplitude (mV)
# Group / legend
|group = [yes,no]
# Color base on label
| pwcol = event_survival

# Data table: Biopsy Data on Breast Cancer Patients from R
Subject,ER,ESR1,ERBB2,time_survival,event_survival
213.CEL.gz,pos,11.9254630181229,9.61247303826817,16,1
215.CEL.gz,neg,6.66617889652782,8.14416386914326,6,1
216.CEL.gz,neg,6.83939265510022,8.6197659211771,13,1
217.CEL.gz,pos,12.3740216913257,10.0208362321678,19,1
22.CEL.gz,pos,11.2073895124403,10.0149418351832,130,0
222.CEL.gz,pos,11.9296229838704,9.86127506563964,37,1
223.CEL.gz,pos,12.5438649872778,9.88821704249985,23,1
226.CEL.gz,pos,11.8222139778077,9.31412819154944,38,1
230.CEL.gz,pos,8.04138052319307,12.3208530473652,24,1
231.CEL.gz,pos,10.8278678543472,9.42176566180967,44,1
233.CEL.gz,pos,11.4954600931536,10.0546752901598,5,1
234.CEL.gz,pos,12.6684030339099,9.77484771526158,37,1
235.CEL.gz,pos,9.21709625057484,13.4926638439552,33,1
236.CEL.gz,neg,5.61489495586767,8.73225503819112,16,1
237.CEL.gz,pos,11.0124972042017,9.29569041534605,19,1
239.CEL.gz,pos,12.3615499644625,9.63266226715011,35,1
240.CEL.gz,pos,10.4180313509209,9.86802354965572,36,1
241.CEL.gz,pos,11.4585230071331,9.78540650416705,17,1
244.CEL.gz,pos,12.5527819141986,9.54226817954983,39,1
246.CEL.gz,pos,12.1993059416463,10.2432373834303,47,1
247.CEL.gz,pos,11.3711807411975,9.86673658902907,44,1
249.CEL.gz,pos,11.7275826007329,12.6028859230039,18,1
250.CEL.gz,pos,12.1048861722287,9.94309469312013,14,1
252.CEL.gz,pos,9.56457999413973,13.1947917640451,15,1
253.CEL.gz,pos,11.8694570695423,10.2466855203135,19,1
254.CEL.gz,pos,11.4326280740281,9.80411533211133,48,1
255.CEL.gz,neg,6.47917026339232,8.858103109245,6,1
258.CEL.gz,pos,9.55290887485073,10.4922851394929,9,1
259.CEL.gz,neg,6.29065737020736,13.2718764575534,14,1
260.CEL.gz,neg,9.97818583479494,11.7243830877211,29,1
261.CEL.gz,neg,6.55043506138868,7.74031592767829,18,1
262.CEL.gz,pos,5.93560035607877,8.64036065057435,18,1
263.CEL.gz,neg,6.2597438625327,11.4083402949335,32,1
264.CEL.gz,neg,6.27037400273267,8.98040494971709,33,1
265.CEL.gz,neg,6.88903729797357,13.7103948198835,66,0
267.CEL.gz,neg,8.00797655747993,13.1495224444403,59,0
268.CEL.gz,neg,10.5207205290963,9.87726376267663,82,0
27.CEL.gz,pos,9.50805219970341,12.1504253273202,30,1
270.CEL.gz,pos,11.4072957601672,9.1478432425408,59,0
271.CEL.gz,pos,11.3231135881467,9.33803202206815,64,1
272.CEL.gz,pos,12.1937593222775,9.68860624298831,83,0
273.CEL.gz,pos,10.6351371121434,11.9483253671348,81,0
275.CEL.gz,neg,10.9101891838182,10.0495831209917,105,0
276.CEL.gz,pos,11.1684621252951,9.08957785160197,54,0
277.CEL.gz,pos,12.152229277778,9.88179455168874,79,0
278.CEL.gz,pos,11.4046819783778,9.74412267783631,50,1
28.CEL.gz,pos,11.9502055138165,10.5197673459615,155,0
284.CEL.gz,pos,12.7931360335998,9.67066379065281,72,0
285.CEL.gz,pos,10.8072910269017,9.46935443940296,51,1
286.CEL.gz,pos,11.8668261999982,9.76091357766594,107,0
287.CEL.gz,neg,10.3515543498207,10.2369441255996,79,0
288.CEL.gz,pos,11.4933381527733,9.97459596793879,71,1
29.CEL.gz,neg,6.82099215566746,8.95795302011715,25,1
290.CEL.gz,pos,12.0256446412469,10.6475638348136,100,0
292.CEL.gz,neg,9.85209407660902,10.4069490073724,58,0
293.CEL.gz,neg,6.34050228001678,7.94518931018032,56,0
3.CEL.gz,neg,7.96261866220226,9.0366165619952,101,0
31.CEL.gz,pos,12.2726279228394,11.2390193076587,30,1
32.CEL.gz,pos,11.4236917204901,9.6509563339579,84,0
33.CEL.gz,pos,11.1849668840796,12.4431103512992,7,1
34.CEL.gz,pos,11.9567949693031,9.01578651975689,100,0
35.CEL.gz,pos,11.6321907968721,9.482308400415,30,1
37.CEL.gz,neg,5.35213823590126,7.7751994586789,7,1
38.CEL.gz,neg,6.4277807402725,9.24697281025405,133,0
39.CEL.gz,pos,9.79393635385599,8.82720770980722,43,1
40.CEL.gz,pos,12.4030466267416,10.5811501050111,102,0
41.CEL.gz,pos,11.6726324836614,9.90028427352261,25,1
416.CEL.gz,pos,12.3752332844975,10.1964050232753,60,1
44.CEL.gz,pos,12.7916303880146,9.86396852056977,169,0
46.CEL.gz,pos,6.37173421743633,9.04684183995688,109,0
48.CEL.gz,pos,7.28867882680722,8.69388719572934,101,0
49.CEL.gz,pos,7.13148403526015,8.70809728719343,28,1
5.CEL.gz,pos,10.8730683504851,8.82960582037142,118,0
50.CEL.gz,pos,11.6362485657851,9.64457525365767,125,0
54.CEL.gz,pos,12.3777884106385,9.83785182256672,144,0
540.CEL.gz,pos,11.4170562307182,9.01951083134521,49,1
546.CEL.gz,pos,11.6164930454173,8.97200856626627,62,1
55.CEL.gz,neg,10.0141936550679,9.14095667457803,11,1
550.CEL.gz,pos,10.7238422470722,9.98305791572186,58,1
56.CEL.gz,pos,11.736441298402,9.74870480186279,153,0
57.CEL.gz,pos,10.243391848251,11.9148497339467,20,1
6.CEL.gz,neg,5.90830965521098,8.80684063373015,9,1
600.CEL.gz,pos,11.3842584402353,9.77373363634037,66,0
601.CEL.gz,pos,11.7502920343349,10.4854941736604,52,0
602.CEL.gz,pos,10.9432352410198,10.4696095191338,57,1
605.CEL.gz,pos,12.5114729955089,9.18976344611785,57,0
606.CEL.gz,pos,10.4075613046668,12.2793407294762,66,0
609.CEL.gz,neg,6.45589941479585,8.02794729069957,79,0
61.CEL.gz,neg,6.57103917085275,9.67325920633301,11,1
611.CEL.gz,pos,11.3222646951588,11.6902756709083,75,0
612.CEL.gz,pos,11.6503848518583,10.035644104319,92,0
613.CEL.gz,pos,12.9236592673147,9.70176358635925,93,0
614.CEL.gz,pos,10.7614668231058,10.0977018092085,88,0
615.CEL.gz,pos,11.6840664853676,10.4607038460682,92,0
616.CEL.gz,pos,9.67052297765386,9.7822044210848,88,0
62.CEL.gz,pos,10.6247455623714,9.94977391089017,108,0
620.CEL.gz,pos,11.0505283089202,8.9581014902851,62,1
621.CEL.gz,neg,9.99812934027206,9.05742704820823,80,0
625.CEL.gz,pos,11.8076342814758,12.1433380568519,72,1
627.CEL.gz,pos,8.85047979381302,8.15321671104279,113,0
629.CEL.gz,pos,10.8065211720925,9.20595868634265,131,0
63.CEL.gz,pos,11.1727869259967,9.03687717445067,14,1
630.CEL.gz,pos,11.1159663693864,9.6318087736749,119,0
631.CEL.gz,pos,11.4253649670725,9.75444078731828,99,0
633.CEL.gz,neg,5.97981257822141,9.02143047374491,76,0
634.CEL.gz,pos,12.2944827211053,10.2006178876039,117,0
635.CEL.gz,pos,12.113088645113,9.7994911743202,119,0
637.CEL.gz,neg,6.40826271096276,12.7047041645283,54,0
64.CEL.gz,neg,5.48973103675989,8.30843806621672,134,0
640.CEL.gz,pos,11.0748382155186,13.0058574436665,81,0
641.CEL.gz,pos,11.8700182543646,9.82563620137108,77,0
642.CEL.gz,pos,12.3368742839325,10.4192887898856,54,0
646.CEL.gz,pos,7.18636741757754,11.8758836513162,100,0
647.CEL.gz,neg,10.7876535406113,7.61525028329461,105,0
648.CEL.gz,pos,10.8939817489622,9.84277670032622,95,0
65.CEL.gz,neg,5.7900562689425,10.2375260861436,9,1
66.CEL.gz,pos,10.719221563548,9.69904280997205,152,0
67.CEL.gz,pos,10.5676539206016,9.58765359580629,19,1
68.CEL.gz,pos,10.0055985453983,9.57153797671972,112,0
696.CEL.gz,pos,6.03158653579481,9.03771929787372,51,1
698.CEL.gz,pos,11.340171959267,11.3653179812431,60,0
7.CEL.gz,neg,7.24248780255163,8.34586848313461,106,0
70.CEL.gz,pos,11.5652716573731,9.35291192936676,114,0
703.CEL.gz,pos,10.4696713023418,12.0223360939357,61,1
707.CEL.gz,neg,8.93649058894168,7.77495091906651,98,0
71.CEL.gz,neg,6.83563976478681,13.2460134735605,12,1
710.CEL.gz,neg,6.15662591566456,9.34379377023562,50,0
712.CEL.gz,pos,6.61508912556347,9.21074484522304,86,0
713.CEL.gz,neg,6.30769673572819,8.85727344781441,156,0
714.CEL.gz,pos,11.8410598119605,9.61827520961231,157,0
716.CEL.gz,pos,10.197528462053,9.94065504592574,87,0
72.CEL.gz,pos,9.36864711089325,8.58973304376993,134,0
726.CEL.gz,pos,11.378637420726,9.83619418976037,105,0
727.CEL.gz,pos,11.2796273928012,9.43551028749409,121,0
728.CEL.gz,pos,12.3913881869212,9.47278971262508,105,0
729.CEL.gz,pos,10.8001835317791,10.8441824852341,86,0
737.CEL.gz,pos,12.0211135272989,9.52158615217027,123,0
738.CEL.gz,pos,12.0483160180171,9.81966090933121,126,0
74.CEL.gz,neg,5.46405886232597,9.58183074146674,90,0
741.CEL.gz,pos,12.0689190039439,9.91192898669162,124,0
747.CEL.gz,pos,12.0221602172453,9.72091207273455,96,0
749.CEL.gz,pos,10.9190069425382,8.94732430219025,141,0
75.CEL.gz,pos,11.6796224179729,9.54158762025845,15,1
751.CEL.gz,pos,12.1196568706914,9.24447627286872,125,0
754.CEL.gz,pos,11.9632976809404,9.83554334585319,109,0
760.CEL.gz,pos,11.6816308166289,9.71533776915757,98,0
762.CEL.gz,pos,11.1110546268352,9.69822090281072,116,0
763.CEL.gz,pos,11.4398312935195,11.9844443295983,171,0
765.CEL.gz,pos,6.41175533871862,12.3850281418888,147,0
767.CEL.gz,pos,11.719489763154,9.68920264538023,134,0
768.CEL.gz,pos,8.90195409956953,12.4122149237859,129,0
769.CEL.gz,pos,12.1613042657516,12.2416749894876,84,0
772.CEL.gz,pos,5.80682359816175,9.58563236472536,108,0
774.CEL.gz,neg,5.69616312412496,9.16401522297492,120,0
777.CEL.gz,neg,6.77642133363608,10.8556757551159,153,0
778.CEL.gz,pos,12.7894242066166,10.5347623424499,104,0
779.CEL.gz,pos,9.31740650963179,9.48988146903635,137,0
78.CEL.gz,neg,6.87514832806927,13.2864355910898,152,0
780.CEL.gz,neg,7.12135905225521,9.51134259063671,124,0
782.CEL.gz,neg,7.40232288652983,13.1642929476705,148,0
783.CEL.gz,pos,12.8334717277184,9.16851784239305,122,0
785.CEL.gz,pos,12.6746254880207,9.23364702217798,138,0
787.CEL.gz,pos,7.21481866943585,13.1825235412863,110,0
789.CEL.gz,pos,11.998416476557,10.1408863767403,96,0
79.CEL.gz,neg,6.49494747530201,8.9257219954097,32,1
791.CEL.gz,pos,7.85163035089007,8.32559119578452,87,0
793.CEL.gz,pos,11.6223128360643,9.23717841527273,122,0
794.CEL.gz,pos,12.0802034771957,9.93807024700552,101,0
795.CEL.gz,pos,11.7960038823769,10.9107098669825,132,0
796.CEL.gz,pos,12.8158173376273,9.77576631308692,143,0
797.CEL.gz,pos,11.0012222249134,10.5107256239489,122,0
798.CEL.gz,pos,11.0567490989761,9.26792478022267,132,0
8.CEL.gz,neg,12.4956694924365,10.0333169316239,37,1
80.CEL.gz,pos,11.9459576790886,9.49067245297534,97,0
804.CEL.gz,pos,11.1356185624897,8.84193446200506,121,0
805.CEL.gz,neg,6.46217969451385,8.75309846872717,103,0
806.CEL.gz,neg,6.330000775329,9.00549305582819,85,0
808.CEL.gz,pos,12.4489602356767,10.1592976006727,110,0
809.CEL.gz,pos,9.46902259814848,12.152134908165,107,0
81.CEL.gz,pos,10.4986949126089,9.30099237672284,11,1
810.CEL.gz,pos,10.7888194302512,9.65519267520687,84,0
813.CEL.gz,neg,7.26325206068131,8.7989346004041,103,0
815.CEL.gz,pos,12.8110066539073,9.87850498520561,107,0
817.CEL.gz,pos,13.06710422358,10.085026927752,108,0
82.CEL.gz,pos,12.7543125718545,10.0836006757424,143,0
820.CEL.gz,pos,8.88797812816079,9.44936195345403,116,0
833.CEL.gz,neg,5.74394816981258,7.82595989697003,97,0
836.CEL.gz,pos,12.5809556408233,8.79623793048989,84,0
839.CEL.gz,neg,6.79731079800928,12.6908350008127,97,0
84.CEL.gz,neg,5.93258944986263,9.22740696656295,114,0
841.CEL.gz,pos,10.1219118058624,9.53459787264958,96,0
843.CEL.gz,pos,9.78454070852981,9.10996330392897,110,0
844.CEL.gz,neg,6.50107705451543,7.88057657644811,114,0
845.CEL.gz,pos,9.61226636943674,9.96643261961673,109,0
846.CEL.gz,neg,5.99937028784924,13.1699286541707,84,0
847.CEL.gz,pos,10.9163845411453,10.1017853695742,105,0
848.CEL.gz,pos,11.4912198531615,9.07894654117698,86,0
849.CEL.gz,pos,8.5080016324223,9.65627613688175,88,0
851.CEL.gz,pos,11.9279567245586,10.1322523782938,92,0
852.CEL.gz,pos,10.1504272848017,12.5278337840354,113,0
853.CEL.gz,neg,6.75271654085832,12.3683846028346,88,0
855.CEL.gz,neg,6.39548307319785,9.58926156075625,88,0
856.CEL.gz,pos,11.0993891837236,9.08553733244565,88,0
857.CEL.gz,neg,9.62882369149312,9.41520747123831,98,0
86.CEL.gz,pos,7.57197289429154,13.1034867657285,104,0
861.CEL.gz,pos,10.1321525726084,10.274216006876,95,0
862.CEL.gz,neg,7.30335754484184,8.66912305210416,87,0
863.CEL.gz,pos,11.8320050710093,10.1476376127626,107,0
864.CEL.gz,neg,5.54990950051795,8.91845382952857,87,0
865.CEL.gz,pos,9.59415942367557,9.44237947746859,92,0
866.CEL.gz,pos,11.9274620066081,10.0696843615164,75,1
867.CEL.gz,pos,11.1584601850376,9.4327760540656,55,1
868.CEL.gz,pos,11.1976304914477,9.54662384484531,77,1
870.CEL.gz,pos,11.8871347734464,10.5890562443068,56,1
871.CEL.gz,pos,10.9605079201345,9.16385533772978,71,1
873.CEL.gz,pos,12.915722224947,9.44592579653725,59,1
874.CEL.gz,pos,12.2417917525186,8.55786455583806,70,1
876.CEL.gz,pos,11.2500510970914,10.0214634692424,60,1
877.CEL.gz,pos,11.2298681595587,8.93955840115268,66,1
879.CEL.gz,neg,6.12814375210635,12.834083071534,108,0
88.CEL.gz,pos,12.0978538047122,9.70586653053255,98,0
883.CEL.gz,pos,11.5812535647185,10.1070954288509,86,0
887.CEL.gz,pos,10.1635486747956,11.764278004251,161,0
89.CEL.gz,pos,11.4306033408468,9.84238114597367,2,1
890.CEL.gz,neg,6.14877655560965,8.24404002029073,161,0
891.CEL.gz,pos,6.94200569525551,10.2664155849543,112,0
894.CEL.gz,neg,6.47160824998325,8.74782539209165,123,0
899.CEL.gz,pos,11.437912353111,10.3004905317989,86,0
9.CEL.gz,pos,11.7182796803854,11.158563793676,125,0
90.CEL.gz,neg,6.81908881613795,10.1474256742985,108,0
900.CEL.gz,pos,12.3176552543752,9.10396698935519,108,0
901.CEL.gz,pos,9.12349380888548,7.99676454923296,108,0
903.CEL.gz,pos,10.3261407509484,10.9107107311796,110,0
909.CEL.gz,pos,10.2789792651689,12.3399753778219,109,0
91.CEL.gz,pos,12.3635344106041,10.2156137504734,20,1
913.CEL.gz,pos,12.9048710631356,9.59073813846693,80,1
92.CEL.gz,pos,10.4091157500647,11.9965629720294,146,0
93.CEL.gz,neg,8.72490187041727,13.4584194734485,48,1
94.CEL.gz,neg,6.20620939628188,8.37934083345098,109,0
96.CEL.gz,neg,6.86201453849613,8.71975289658666,30,1
98.CEL.gz,neg,7.182765697091,13.0730282080918,14,1
99.CEL.gz,pos,12.414966026282,11.4428525572968,107,0
